name,gender,stream,10th_percentage,12th_percentage,numerical_ability,verbal_reasoning,logical_thinking,spatial_awareness,problem_solving,openness,conscientiousness,extraversion,agreeableness,neuroticism,career_1,career_1_score,career_1_courses,career_2,career_2_score,career_3,career_3_score
Mitali Shroff,Female,Science(PCM),64,90,100,40,100,72,91,2.5,2.38,2.5,2.47,2.62,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9621,Automobile Engineer,0.9621
Faras Kala,Female,Commerce,89,81,69,93,75,31,41,3.19,3.05,3.22,3.22,3.34,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9695,Economist,0.9695
Jairaj Kara,Female,Science(PCB),61,88,93,78,48,52,100,2.11,3.08,2.72,2.04,3.26,Medical Doctor (MBBS),1.0,"MBBS, BDS, MD/MS, B.Sc Nursing",Forensic Scientist,0.9512,Geneticist,0.9512
Frederick Luthra,Male,Science(PCM),76,98,100,77,79,100,77,2.98,3.73,2.68,2.12,2.04,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.8798,Automobile Engineer,0.8798
Kavya Divan,Male,Humanities/Arts,81,61,60,53,53,39,76,3.35,1.96,3.42,3.01,3.2,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9304,Historian,0.9304
Yauvani Khare,Male,Humanities/Arts,85,72,54,76,50,100,100,2.49,3.43,2.58,2.11,3.3,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9987,Historian,0.9987
Manthan Setty,Female,Science(PCB),97,87,31,56,79,98,81,2.61,3.06,2.7,2.53,2.96,Medical Doctor (MBBS),1.0,"MBBS, BDS, MD/MS, B.Sc Nursing",Forensic Scientist,0.968,Geneticist,0.968
Dalaja Atwal,Male,Science(PCM),68,77,63,83,100,53,73,3.0,2.89,3.4,2.84,3.22,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9388,Automobile Engineer,0.9388
Nachiket Dani,Male,Commerce,67,98,83,44,59,30,92,1.62,3.88,1.98,2.75,1.87,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.8713,Economist,0.8713
Ranbir Bahri,Male,Commerce,80,60,53,85,86,33,56,2.12,2.8,3.4,1.93,2.27,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9831,Economist,0.9831
Idika Chaudhary,Male,Humanities/Arts,91,78,86,71,71,60,32,1.96,2.77,2.85,3.13,2.68,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9925,Historian,0.9925
Daksha Anne,Female,Commerce,96,61,58,87,79,84,68,3.34,2.13,2.75,1.95,2.05,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Ubika Khanna,Female,Humanities/Arts,72,83,55,65,41,48,59,2.89,2.53,2.73,2.51,2.88,Social Worker,1.0,,Archaeologist,1.0,Historian,1.0
Hema Nazareth,Male,Science(PCB),60,90,93,45,50,34,36,3.48,2.2,2.5,2.29,3.24,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Chameli Jha,Female,Science(PCM),62,85,77,31,44,83,50,2.49,3.16,3.21,2.95,3.13,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9763,Automobile Engineer,0.9763
Zinal Shenoy,Female,Science(PCM),68,75,55,88,100,49,77,3.24,2.39,2.8,2.74,1.93,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9231,Automobile Engineer,0.9231
Umang Hegde,Female,Commerce,63,81,82,64,92,84,86,3.33,2.13,3.2,2.02,2.61,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Sanaya Venkataraman,Female,Humanities/Arts,86,67,62,79,84,62,41,3.76,3.1,3.6,2.68,2.07,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.8812,Historian,0.8812
Jeremiah Chokshi,Male,Commerce,92,63,46,95,49,90,94,2.88,3.09,2.49,2.84,2.9,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Varsha Natt,Female,Humanities/Arts,81,73,63,74,98,54,67,3.24,3.3,2.14,3.33,3.04,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9103,Historian,0.9103
